timestamp,staking_provider,event,amount
1643836175,0x63e81d7025706d795ab170ef9783d18816ab1481,staked,5000000000000000000000
1643836537,0x63e81d7025706d795ab170ef9783d18816ab1481,toppedUp,35000000000000000000000
1643901556,0xab45507d1db315e8618ea26d78f1c85210077792,staked,2000000000000000000000
1643907210,0x4a94d912d22bca70e37ec1d97cffbb68976c5282,staked,1000000000000000000000
1643952355,0x63e81d7025706d795ab170ef9783d18816ab1481,unstaked,40000000000000000000000
1643952469,0x63e81d7025706d795ab170ef9783d18816ab1481,toppedUp,40000000000000000000000
1643954159,0xd0908b1e0f6e64e3097c663bf95e2e9c040dd40d,staked,566486463971216779444545
1643970012,0x3ff855895ef4ac833c32ab6a0d6c7fbfa137e26e,staked,100000000000000000000000
1643971143,0x3ff855895ef4ac833c32ab6a0d6c7fbfa137e26e,toppedUp,91327545250200640000000
1643976253,0x48d6cd1ab531cd46ca666cffe21fdde529a036c7,staked,100000000000000000000000
1643976523,0x48d6cd1ab531cd46ca666cffe21fdde529a036c7,toppedUp,10000545250200640000000
1643977061,0x48d6cd1ab531cd46ca666cffe21fdde529a036c7,toppedUp,31327000000000000000000
1643977494,0x48d6cd1ab531cd46ca666cffe21fdde529a036c7,toppedUp,50000000000000000000000
1643978710,0xab45507d1db315e8618ea26d78f1c85210077792,toppedUp,2000000000000000000000
1643982148,0xdc4f872e02a678aa4b58a82f9ba673818948f9ba,staked,40001000000000000000000
1643982756,0xdc4f872e02a678aa4b58a82f9ba673818948f9ba,toppedUp,1000000000000000000000
1643984221,0xdc4f872e02a678aa4b58a82f9ba673818948f9ba,toppedUp,4000000000000000000000
1643984824,0xab45507d1db315e8618ea26d78f1c85210077792,toppedUp,2000000000000000000000
1643984929,0xdafd72e76a04a4d618277a2ff280e3c4a8ac342d,staked,146326545250200640000000
1643985262,0xab45507d1db315e8618ea26d78f1c85210077792,toppedUp,2000000000000000000000
1644010475,0x378c89b5b93667a005856822e1b65e2d7c076373,staked,1541822158974574236621225
1644018414,0x1b906f26c0d33d9c08aead2ac4d0c1c79e807b18,staked,239159431562750800000000
1644058198,0xa43239c93916d3db28ccfdac5013277a23c52ba3,staked,601689676817746150621408
1644109264,0x2c27c5c155da013a19b350724ae6c2959cf3794e,staked,70656329739116001623880
1644258648,0xa43239c93916d3db28ccfdac5013277a23c52ba3,toppedUp,2474297899943752547752536
1644268336,0x3ff855895ef4ac833c32ab6a0d6c7fbfa137e26e,unstaked,191327545250200640000000
1644269830,0x48214cd3057a21234963d7ec95f7e1db6bb91de1,staked,57933204796541886733740
1644379356,0xac5f6ad16b9ba91d652faec3093e49be689fe7a5,staked,146479076116313085292875
1644401058,0x89c8121115955831056958861c6800f0298b820a,staked,82417370993968857502110
1644405767,0x82d751c236cb6c682a54196ef6fc01021a101a1b,staked,354400792013073793748670
1644407473,0x7eeae0d210194f822d5facf06450d2c407728e09,staked,97883172150002647424000
1644411968,0x1b906f26c0d33d9c08aead2ac4d0c1c79e807b18,unstaked,239159431562750800000000
1644423709,0xa94f9bfc8c74e444cb73e0c42a62cc3abfbbed77,staked,126701677682780149839641
1644427609,0xab45507d1db315e8618ea26d78f1c85210077792,unstaked,8000000000000000000000
1644474595,0xac5f6ad16b9ba91d652faec3093e49be689fe7a5,unstaked,146479076116313085292875
1644481047,0x48d6cd1ab531cd46ca666cffe21fdde529a036c7,unstaked,191327545250200640000000
1644509327,0xdc4f872e02a678aa4b58a82f9ba673818948f9ba,unstaked,45001000000000000000000
1644509634,0xdafd72e76a04a4d618277a2ff280e3c4a8ac342d,unstaked,146326545250200640000000
1644539552,0xf4d4f82b3618cd488797af25615a8a87e98dcdd5,staked,42214244735582572417821
1644550484,0xc02f6d78e6d1cd6522c57caa5aa99070aa1daf8b,staked,249338050362234865482206
1644573817,0x13f75113842bd3c3c79735f1a908fa1ad835f813,staked,415616099629623454947840
1644643445,0xc02f6d78e6d1cd6522c57caa5aa99070aa1daf8b,unstaked,249338050362234865482206
1644674702,0x0245c450b89029e519ed81b3c45a0f8bb2a69a35,staked,41276526293415160572000
1644746911,0x38190ba5080871cad638ba91b9d8dcb49576186b,staked,146170917997827230013870
1644866938,0x63e81d7025706d795ab170ef9783d18816ab1481,unstaked,40000000000000000000000
1644866942,0x4a94d912d22bca70e37ec1d97cffbb68976c5282,unstaked,1000000000000000000000
1645057658,0xd9221c8c3227b6383f6440019b7eb5485f93455a,staked,121340372545197107909880
1645065487,0xd517479acaef258baa3ba6a351e9c714a79d597e,staked,1105109246802322141134139
1645355322,0xf9283ac13aec8a2b60a56a82f1f5e4da1742ccf8,staked,3542951990747803719321600
1645355669,0xf9283ac13aec8a2b60a56a82f1f5e4da1742ccf8,toppedUp,128327266609335297779059
1645447083,0xe4a3492c8b085ab5edb6fdae329f172056f6b04e,staked,8060089913797404241120120
1645448659,0xdcd4199e22d09248ca2583cbdd2759b2acd22381,staked,1195797157813754000000000
1645449159,0xfc97a906c715587b56c2c65a07ce731ba80339de,staked,1191970606908749987200000
1645449508,0x07c9a8f8264221906b7b8958951ce4753d39628b,staked,2391594315627508000000000
1645449844,0xd977144724bc77faefae219f958ae3947205d0b5,staked,12941777815814071690880000
1645449844,0x045e511f53debf55c9c0b4522f14f602f7c7ca81,staked,17040803061197526477320000
1645450300,0x650a9ed18df873cad98c88dcac8170531cad2399,staked,30696593541076206533887296
1645457323,0x00aca6dfd2fbcad074a5f116bad0b057900230d9,staked,8383658978264641102959472
1645482330,0x43e17eecac8812b8e96e89b6075c5de63680d194,staked,44413402383447248566254000
1645488188,0xca5ac1b59796be580820e9c66d395977d4f7c3c0,staked,6907940787200441638624920
1645521510,0x9f8cc80d7f5125ad725293686ac656a7c52f6f11,staked,1000000000000000000000000
1645523071,0xe01be841b1e192390949e9ea1779b1897e105802,staked,1291460930438854320000000
1645524624,0xb8c1cb376292d21ff1aa517decc6157756a69789,staked,47831886312550160000000
1645525636,0x4bfa10b1538e8e765e995688d8eec39c717b6797,staked,1516906960195796989128000
1645548450,0x78edaa9375250af6237d708ef70eaa0d0ed5970c,staked,4000000000000000000000000
1645603126,0xa7baca5a92842689359fb1782e75d6eff59152e6,staked,16978998098551565982884376
1645617274,0x2ebe08379f4fd866e871a9b9e1d5c695154c6a9f,staked,5847299822861688154504000
1645622071,0xbe9d12fc853b67cfdaae134e5b8178b9667bd2fb,staked,13379824330484215177112024
1645693452,0x0c19a07242755b3f107cfb4c74d236a18548541f,staked,4664587985898239408606415
1645748718,0x606c9936a8b5c70061b3464424ab7d45302ef9b7,staked,2573342074290066182067510
1645755709,0x7eeae0d210194f822d5facf06450d2c407728e09,unstaked,97883172150002647424000
1645756795,0xa43239c93916d3db28ccfdac5013277a23c52ba3,unstaked,3075987576761498698373944
1645864918,0x7db47c4598a3ba473e37fd30813831eb9a0c6fa5,staked,41988495240000000000000
