timestamp,bake_tezos__reward,adjustedReward,delegate_tezos__reward,delegateadjustedReward,total_staked,priceUsd,marketcapUsd
1621680072,6.097906,1.378937,5.484909,0.765941,77.624881,3.54,2908545454
1621672871,6.098277,1.379139,5.485243,0.766105,77.622934,3.46,2878485773
1621665670,6.096638,1.3775,5.483769,0.764631,77.643811,3.33,2746583698
1621658474,6.096926,1.377793,5.484028,0.764895,77.640063,3.48,2921757338
1621651273,6.096994,1.37787,5.484089,0.764965,77.639047,3.69,3099716695
1621644078,6.09769,1.378257,5.484715,0.765282,77.635262,3.65,3014696858
1621636876,6.096458,1.376821,5.483607,0.76397,77.654298,3.58,2930916135
1621629675,6.094746,1.37511,5.482067,0.762431,77.676099,3.42,2861202628
1621622473,6.094674,1.375156,5.482003,0.762484,77.675089,3.6,2955194543
1621615279,6.09502,1.375351,5.482314,0.762644,77.673151,3.71,3057311953
1621608074,6.096619,1.376717,5.483752,0.76385,77.656605,3.71,3109997582
1621600870,6.099105,1.37895,5.485988,0.765832,77.62911,4.03,3393271873
1621593674,6.100401,1.379971,5.487154,0.766723,77.617127,4.13,3417460486
1621586475,6.077298,1.356397,5.466373,0.745472,77.919932,4,3338439955
1621579282,6.075643,1.354707,5.464884,0.743949,77.941735,4.05,3355662380
1621572072,6.075805,1.35497,5.46503,0.744195,77.937999,4.09,3428660012
1621564882,6.076695,1.355839,5.465831,0.744974,77.926945,4.26,3551651734
1621557672,6.076697,1.356011,5.465832,0.745146,77.924122,4.25,3529473650
1621550479,6.07659,1.356104,5.465736,0.74525,77.922199,4.04,3392168478
1621543274,6.075938,1.35591,5.465149,0.745121,77.92303,4.12,3425546905
1621536073,6.078239,1.35759,5.467219,0.74657,77.903742,4.07,3378302967
1621528874,6.077208,1.356592,5.466292,0.745676,77.916415,4.01,3346856995
1621521672,6.081361,1.360236,5.470027,0.748902,77.871585,4.37,3603067989
1621514479,6.083029,1.361279,5.471527,0.749778,77.860507,4.24,3521956932
1621507276,6.084365,1.363135,5.472729,0.7515,77.834865,4.1,3429384505
1621500075,6.084826,1.364465,5.473144,0.752783,77.814694,3.98,3324998374
1621492895,6.084139,1.363487,5.472526,0.751874,77.828262,3.85,3181845670
1621485668,6.082259,1.363075,5.470835,0.751651,77.828185,3.75,3134874571
1621478471,6.083529,1.364307,5.471977,0.752756,77.812565,3.55,2931661815
1621471268,6.082189,1.364072,5.470772,0.752655,77.811548,3.51,3036269839
1621464067,6.079431,1.36352,5.468292,0.752381,77.810559,3.9,3231550107
1621456869,6.077293,1.363388,5.466368,0.752464,77.804927,3.98,3335931589
1621449701,6.080085,1.360521,5.46888,0.749316,77.862277,3.82,3179281416
1621442474,6.082169,1.362434,5.470754,0.75102,77.838406,3.9,3144726809
1621435271,6.079342,1.35943,5.468211,0.748299,77.877524,4.07,3352516095
1621428067,6.075315,1.355385,5.46459,0.744659,77.929442,4.53,3813351141
1621420866,6.07826,1.358316,5.467239,0.747294,77.891923,4.95,4147227319
1621413663,6.081776,1.361819,5.470401,0.750443,77.847109,5.03,4140578440
1621406462,6.076595,1.356628,5.465741,0.745774,77.913637,5.07,4237848814
1621399268,6.079852,1.360072,5.46867,0.748891,77.868823,5.08,4258186280
1621392068,6.078928,1.359153,5.467839,0.748064,77.880593,5.38,4489889010
1621384870,6.078573,1.358913,5.46752,0.74786,77.883247,5.79,4853911278
1621377666,6.079261,1.35935,5.468138,0.748228,77.878557,5.83,4823680812
1621370471,6.079036,1.35914,5.467936,0.74804,77.881207,5.79,4809697744
1621363263,6.077732,1.357969,5.466763,0.747001,77.895717,5.71,4745358833
1621356068,6.077893,1.358288,5.466908,0.747304,77.891057,5.77,4737765891
1621348868,6.077435,1.357585,5.466497,0.746646,77.900977,5.65,4781487214
1621341665,6.077828,1.357845,5.46685,0.746867,77.89812,5.84,4871190495
1621334470,6.077985,1.357832,5.466991,0.746837,77.898919,5.56,4620132074
1621327265,6.078062,1.357634,5.46706,0.746632,77.902453,5.45,4553516280
1621320065,6.077963,1.357562,5.466971,0.74657,77.903272,5.51,4614593148
1621312869,6.078059,1.357092,5.467057,0.746091,77.911354,5.42,4499026684
1621305675,6.077631,1.356671,5.460503,0.739543,77.91674,5.32,4400732455
1621298470,6.077643,1.356901,5.460515,0.739772,77.912995,5.32,4424395243
1621291272,6.078667,1.357523,5.461434,0.74029,77.906488,5.11,4319648650
1621284066,6.079105,1.357737,5.461828,0.74046,77.904553,5.37,4440801903
1621276872,6.086121,1.365293,5.468131,0.747303,77.805884,5.16,4280469983
1621269675,6.086513,1.365054,5.468483,0.747025,77.811237,5.14,4287381553
1621262472,6.081993,1.36056,5.464423,0.74299,77.868645,5.27,4360005699
1621255270,6.083597,1.362587,5.465864,0.744853,77.841167,5.4,4534329546
1621248069,6.085302,1.363362,5.467395,0.745455,77.834645,5.45,4513956008
1621240871,6.085999,1.363524,5.468022,0.745547,77.83452,5.46,4518057228
1621233666,6.086724,1.364801,5.468673,0.74675,77.816174,5.39,4487418926
1621226462,6.085823,1.364885,5.467864,0.746926,77.811518,5.3,4398702003
1621219264,6.08519,1.362196,5.467295,0.744301,77.853403,5.35,4484579824
1621212066,6.078832,1.360849,5.461583,0.7436,77.852398,5.57,4630508762
1621204866,6.086863,1.363971,5.468798,0.745906,77.830339,5.6,4670391669
1621197667,6.084252,1.361455,5.466452,0.743655,77.862172,5.58,4620190305
1621190465,6.081311,1.358701,5.463809,0.7412,77.89675,5.73,4772636654
1621183267,6.080929,1.358182,5.463467,0.740719,77.903908,5.84,4895164047
1621176064,6.081777,1.358712,5.464229,0.741163,77.898275,6.04,5022380571
1621168863,6.081757,1.358715,5.464211,0.741169,77.898153,6.12,5102052318
1621161661,6.081297,1.358564,5.463798,0.741064,77.898969,6.17,5120606480
1621154460,6.080712,1.358219,5.463272,0.740778,77.902525,6.07,5037853860
1621147260,6.081157,1.358824,5.463672,0.741338,77.894197,6.05,5056781752
1621140059,6.080863,1.358599,5.463408,0.741143,77.896821,5.88,4889192674
1621132864,6.079269,1.357088,5.461975,0.739794,77.915879,5.9,4923515235
1621125661,6.079382,1.357177,5.462077,0.739872,77.914828,5.89,4920385115
1621118464,6.080924,1.358471,5.463462,0.741009,77.899154,5.95,4977927463
1621111263,6.070824,1.348708,5.454388,0.732271,78.023215,5.99,4981595493
1621104060,6.070913,1.348784,5.454468,0.732338,78.022285,5.95,4950503833
1621096867,6.070843,1.348835,5.454404,0.732397,78.021187,5.93,4976391786
1621089661,6.071612,1.348908,5.455096,0.732391,78.022779,6.09,5078750112
1621082462,6.071914,1.349038,5.455367,0.732491,78.021731,6.11,5061733772
1621075264,6.071981,1.349006,5.455427,0.732452,78.022495,6.01,4975052338
1621068060,6.072284,1.349138,5.4557,0.732553,78.021433,6.16,5128347953
1621060860,6.072204,1.349017,5.455627,0.73244,78.023132,6.24,5204405776
1621053678,6.072914,1.349293,5.456421,0.732801,78.021151,6.36,5298856314
1621046469,6.072121,1.348849,5.455709,0.732437,78.025604,6.46,5386046382
1621039266,6.07154,1.348452,5.455186,0.732098,78.030046,6.45,5309717411
1621032065,6.070451,1.347997,5.454208,0.731754,78.033596,6.4,5294710196
1621024873,6.0672,1.345627,5.451288,0.729715,78.060886,6.27,5281433370
1621017661,6.063685,1.34276,5.448129,0.727204,78.095461,6.39,5286964940
1621010481,6.064551,1.343016,5.448907,0.727372,78.094372,6.4,5333105384
1621003270,6.063437,1.342559,5.447906,0.727028,78.097887,6.36,5286426406
1620996062,6.06446,1.342518,5.448825,0.726883,78.102261,6.33,5243059742
1620988865,6.066678,1.343402,5.450819,0.727542,78.095697,6.32,5250957389
1620981659,6.015547,1.294413,5.404878,0.683744,78.723876,6.3,5231867156
1620974464,6.018595,1.294961,5.407617,0.683982,78.725559,6.1,5058549218
1620967260,6.014181,1.294195,5.40365,0.683665,78.722672,6.14,5102659113
1620960068,6.007765,1.292839,5.397886,0.68296,78.72253,6.11,5061543968
1620952870,6.036306,1.301128,5.42353,0.688352,78.685814,6.15,5110015870
1620945669,6.036346,1.301092,5.423565,0.688311,78.686561,6.13,5055778543
1620938468,6.037299,1.301967,5.424421,0.68909,78.675433,5.98,4957518161
1620931270,6.037016,1.301859,5.424167,0.689011,78.676221,5.93,4933553903
1620924069,6.034822,1.299582,5.422196,0.686956,78.706201,6.23,5202726245
1620916870,6.034341,1.299376,5.421764,0.686799,78.70792,6.25,5188154583
1620909663,6.034047,1.299212,5.4215,0.686664,78.709614,6.08,5068330375
1620902463,6.03436,1.299453,5.421781,0.686874,78.706723,5.86,4921113887
1620895263,6.034679,1.299914,5.422068,0.687303,78.70021,6.17,5142580863
1620888065,6.032329,1.297823,5.419956,0.68545,78.726579,6.35,5274819302
1620880865,6.03247,1.298136,5.420083,0.685749,78.721884,6.22,5185928796
1620873661,6.031888,1.297745,5.41956,0.685417,78.726323,6.19,5166486587
1620866469,6.032149,1.297864,5.419794,0.68551,78.725261,6.2,5040569435
1620859258,6.031317,1.297475,5.419047,0.685205,78.728787,6.29,5318410148
1620852064,6.031396,1.297392,5.419118,0.685114,78.730448,6.58,5459478886
1620844866,6.031099,1.297008,5.418851,0.68476,78.735769,6.41,5340845056
1620837664,6.031085,1.297069,5.418839,0.684822,78.734716,6.6,5514994686
1620830464,6.031099,1.296751,5.418851,0.684503,78.740032,7.05,5437257824
1620823260,6.035414,1.301699,5.422728,0.689013,78.673254,6.84,5332027686
1620816068,6.035163,1.301983,5.422503,0.689322,78.667662,6.96,5372439312
1620808861,6.050409,1.317347,5.436201,0.703139,78.467481,7.14,5458367835
1620801660,6.048909,1.316919,5.434853,0.702863,78.469217,6.93,5302948013
1620794464,6.047236,1.316289,5.43335,0.702403,78.473689,6.92,5337473511
1620787262,6.045769,1.316034,5.432032,0.702297,78.472675,7.08,5428781199
1620780064,6.044483,1.315709,5.430877,0.702103,78.473477,7.05,5452675691
1620772868,6.042318,1.314974,5.428931,0.701588,78.477928,6.92,5292499540
1620765672,6.04336,1.316093,5.429867,0.7026,78.463139,6.89,5289581690
1620758467,6.062378,1.335705,5.446955,0.720282,78.207197,6.94,5382910178
1620751273,6.060476,1.336018,5.445246,0.720788,78.19519,6.86,5290304862
1620744073,6.115911,1.394096,5.495053,0.773238,77.443216,6.55,5070133137
1620736864,6.319638,1.600787,5.678099,0.959248,74.899768,6.13,4726777548
1620729659,6.272243,1.551664,5.635515,0.914936,75.493288,6.42,4940913679
1620722458,6.116152,1.400165,5.49527,0.779283,77.344878,6.17,4720613081
1620715257,6.021403,1.302472,5.41014,0.691208,78.610829,6.2,4767453257
1620708061,6.012344,1.306367,5.402,0.696023,78.51381,6.1,4683472837
1620700860,6.037526,1.312016,5.424626,0.699116,78.50987,6.18,4778070010
1620693660,6.068928,1.320657,5.45284,0.704569,78.478688,6.3,4866068949
1620686467,6.069227,1.321059,5.453108,0.70494,78.473125,6.27,4868174855
1620679266,6.077119,1.328981,5.4602,0.712062,78.370722,6.31,4824290999
1620672063,6.079027,1.331009,5.461913,0.713896,78.34415,6.61,5090708788
1620664873,6.075082,1.327108,5.45837,0.710395,78.394314,6.8,5230859727
1620657668,6.074483,1.32665,5.457831,0.709998,78.399718,6.7,5147270210
1620650462,6.090312,1.342539,5.472053,0.72428,78.194972,6.85,5230947526
1620643255,6.203047,1.455143,5.573343,0.82544,76.775954,7.02,5406911564
1620636056,6.261531,1.513699,5.625891,0.878059,76.057707,7.02,5393430802
1620628857,6.162099,1.414454,5.536553,0.788908,77.281946,7.13,5483825343
1620621658,6.062809,1.315127,5.447342,0.69966,78.548209,7.2,5528042629
1620614468,6.063441,1.31516,5.44791,0.699629,78.549893,7.15,5502383190
1620607265,6.063654,1.315213,5.448101,0.69966,78.549776,7.08,5417681120
1620600063,6.06318,1.31495,5.447675,0.699445,78.552443,7.01,5384908247
1620592865,6.063284,1.315143,5.447768,0.699628,78.549627,6.89,5298747348
1620585665,6.06325,1.315086,5.447738,0.699574,78.550451,6.92,5307679288
1620578463,6.062826,1.314944,5.447357,0.699475,78.5513,6.89,5312774828
1620571260,6.06224,1.314656,5.446831,0.699247,78.553975,6.67,5122143649
1620564067,6.062551,1.315337,5.44711,0.699896,78.543854,6.53,5016454017
1620556857,6.06159,1.314802,5.446339,0.699551,78.549272,6.74,5172339369
1620549657,6.060963,1.314671,5.445775,0.699484,78.54921,6.79,5206006768
1620542458,6.06063,1.314715,5.445476,0.699561,78.547317,6.81,5240925144
1620535261,6.059914,1.314676,5.444832,0.699595,78.545428,6.69,5150001936
1620528062,6.058176,1.313753,5.443271,0.698849,78.5545,7.05,5440367513
1620520867,6.060887,1.314679,5.445707,0.699499,78.548823,7.04,5383792090
1620513660,6.062812,1.314992,5.447437,0.699617,78.550479,6.98,5385513158
1620506463,6.062001,1.314657,5.446708,0.699364,78.55314,7.05,5414000259
1620499262,6.061802,1.314619,5.446529,0.699346,78.553057,6.97,5347431064
1620492063,6.061264,1.314399,5.446046,0.69918,78.554797,6.95,5358246218
