timestamp,delegate_livepeer__reward,delegate_livepeer__adjustedReward,run_a_transcoder_node__reward,adjustedReward,total_staked,priceUsd,marketcapUsd
1621680046,20.126574,7.886526,22.36286,10.122812,54.73382,17.45,407633639
1621672848,20.126575,7.886512,22.362861,10.122798,54.733885,17.07,401383140
1621665646,20.126576,7.886498,22.362863,10.122784,54.733952,17.1,403741221
1621658451,20.870431,8.628251,23.189368,10.947188,52.792212,18.03,424280256
1621651251,20.870431,8.628251,23.189368,10.947188,52.792212,18.61,441650730
1621644055,20.870431,8.628251,23.189368,10.947188,52.792212,18.14,427542398
1621636853,20.870431,8.628251,23.189368,10.947188,52.792212,18.14,424220090
1621629654,20.870431,8.628251,23.189368,10.947188,52.792212,18.28,433616041
1621622450,20.870431,8.628251,23.189368,10.947188,52.792212,18.49,435579898
1621615254,20.870431,8.628251,23.189368,10.947188,52.792212,18.93,445201588
1621608050,20.870431,8.628251,23.189368,10.947188,52.792212,20.97,491669582
1621600848,20.870438,8.628183,23.189376,10.947121,52.792518,21.52,509523680
1621593652,20.870444,8.628133,23.189382,10.947071,52.792743,21.84,518114270
1621586449,20.870444,8.628133,23.189382,10.947071,52.792743,22,523304173
1621579257,20.874502,8.630269,23.193891,10.949658,52.790767,22.08,521335389
1621572049,20.874507,8.630215,23.193897,10.949604,52.79101,22.23,538669773
1621564855,20.874507,8.630215,23.193897,10.949604,52.79101,23.1,546248880
1621557649,20.874507,8.630215,23.193897,10.949604,52.79101,22.96,543007101
1621550454,20.874507,8.630215,23.193897,10.949604,52.79101,22.7,537950915
1621543250,20.874507,8.630215,23.193897,10.949604,52.79101,22.72,538417679
1621536051,20.874512,8.630166,23.193903,10.949556,52.791229,22.58,533325822
1621528850,20.874512,8.630166,23.193903,10.949556,52.791229,22.29,526193213
1621521647,20.874518,8.630116,23.193908,10.949507,52.791454,22.67,534110970
1621514457,20.874518,8.630116,23.193908,10.949507,52.791454,21.98,517959832
1621507252,20.874518,8.630116,23.193908,10.949507,52.791454,21.58,511183479
1621500052,20.880512,8.633869,23.200569,10.953926,52.785962,21.89,516185470
1621492872,20.880516,8.63383,23.200574,10.953887,52.786136,21.48,505603538
1621485645,20.88053,8.633702,23.200589,10.953761,52.786712,21.42,510051648
1621478449,20.880536,8.633637,23.200596,10.953696,52.787004,21.29,504298898
1621471247,20.880536,8.633637,23.200596,10.953696,52.787004,21.6,516033777
1621464044,20.880539,8.633615,23.200599,10.953675,52.787102,22.67,534915212
1621456849,20.880539,8.633615,23.200599,10.953675,52.787102,22.58,534529316
1621449676,20.880548,8.633526,23.200609,10.953587,52.787504,22.11,522209055
1621442452,20.880548,8.633526,23.200609,10.953587,52.787504,22.06,505773343
1621435248,20.880548,8.633526,23.200609,10.953587,52.787504,22.42,512146343
1621428048,20.880571,8.633303,23.200635,10.953367,52.788504,24.85,592124492
1621420845,20.807312,8.558477,23.119236,10.870401,52.981141,26.51,631296543
1621413644,20.807322,8.558377,23.119247,10.870301,52.981594,26.93,635091954
1621406443,20.807322,8.558377,23.119247,10.870301,52.981594,26.64,628683336
1621399247,20.807322,8.558377,23.119247,10.870301,52.981594,26.91,640164941
1621392050,20.807322,8.558377,23.119247,10.870301,52.981594,28.09,664746716
1621384850,20.807331,8.558296,23.119257,10.870221,52.981959,29.9,710212871
1621377647,20.807331,8.558296,23.119257,10.870221,52.981959,30.45,715682657
1621370446,20.807331,8.558296,23.119257,10.870221,52.981959,30.27,716614058
1621363243,20.807331,8.558296,23.119257,10.870221,52.981959,30.45,719771883
1621356048,20.807331,8.558296,23.119257,10.870221,52.981959,30.01,708027890
1621348847,20.806757,8.555776,23.118619,10.867638,52.991836,29.59,701854629
1621341645,20.806757,8.555776,23.118619,10.867638,52.991836,30.98,733952074
1621334450,20.806757,8.555776,23.118619,10.867638,52.991836,31.2,743423749
1621327244,20.806757,8.555776,23.118619,10.867638,52.991836,31.3,740504314
1621320045,20.806757,8.555776,23.118619,10.867638,52.991836,32.01,753356844
1621312845,20.806757,8.555776,23.118619,10.867638,52.991836,31.75,751129544
1621305653,20.806757,8.555776,23.118619,10.867638,52.991836,31.98,755630107
1621298449,20.806757,8.55577,23.118619,10.867632,52.991863,29.74,701869942
1621291249,20.806779,8.555561,23.118643,10.867425,52.992806,28.82,690023606
1621284045,20.806809,8.555273,23.118677,10.867141,52.994107,29.63,693719882
1621276849,20.806809,8.555273,23.118677,10.867141,52.994107,28.37,669111582
1621269652,20.809424,8.55603,23.121583,10.868189,52.995481,27.98,660386398
1621262446,20.809429,8.555983,23.121588,10.868142,52.995696,27.91,658953519
1621255249,20.809435,8.555932,23.121594,10.868092,52.995923,28.17,666631771
1621248048,20.809435,8.555932,23.121594,10.868092,52.995923,28.59,674276174
1621240847,20.809435,8.555932,23.121594,10.868092,52.995923,28.45,669385072
1621233647,20.809435,8.555932,23.121594,10.868092,52.995923,27.53,653344770
1621226444,20.809435,8.555932,23.121594,10.868092,52.995923,27.1,639964600
1621219244,20.809435,8.555932,23.121594,10.868092,52.995923,28.51,677568605
1621212046,20.809435,8.555932,23.121594,10.868092,52.995923,29.99,710941202
1621204846,20.809443,8.555851,23.121603,10.868012,52.996288,29.49,700143098
